County,Jun-01,Jun-02,Jun-03,Jun-04,Jun-05,Jun-06,
Baringo,0,0,6,0,0,0,
Bomet,0,0,0,0,10,0,
Bungoma,0,3,6,0,5,0,
Busia,7,0,3,13,15,17,
Elegeyo Marakwet,0,1,1,0,1,2,
Embu,1,0,2,2,2,0,
Garissa,9,0,1,6,1,0,
Homa Bay,2,1,4,1,12,2,
Isiolo,0,0,0,0,0,0,
Kajiado,3,1,5,1,2,1,
Kakamega,2,0,2,2,1,1,
Kericho,14,1,7,8,29,1,
Kiambu,12,3,3,7,8,1,
Kilifi,19,12,18,0,33,8,
Kirinyaga,2,1,0,2,1,1,
Kisii,9,1,3,5,37,9,
Kisumu,67,32,145,30,54,0,
Kitui,4,1,10,3,1,0,
Kwale,0,2,0,2,0,0,
Laikipia,1,2,1,0,0,0,
Lamu,0,0,0,1,0,0,
Machakos,1,4,1,0,4,1,
Makueni,10,0,0,0,3,0,
Mandera,0,0,1,0,3,1,
Marsabit,0,0,0,1,1,0,
Meru,0,6,3,1,4,4,
Migori,1,0,21,2,19,1,
Mombasa,35,2,26,21,2,2,
Murang'a,0,1,0,4,3,3,
Nairobi City,80,38,52,66,53,48,
Nakuru,3,2,19,7,10,8,
Nandi,1,7,9,1,14,3,
Narok,2,1,2,2,2,4,
Nyamira,14,0,14,0,12,0,
Nyandarua,0,0,0,0,0,0,
Nyeri,1,0,0,8,3,18,
Samburu,0,0,0,0,0,0,
Siaya,37,2,34,66,17,4,
Taita Taveta,0,1,0,0,0,0,
Tana River,0,0,0,0,0,0,
Tharaka-Nithi,0,0,3,0,0,0,
Trans Nzoia,2,3,0,1,1,3,
Turkana,0,0,7,7,1,0,
Uasin Gishu,5,14,10,7,22,21,
Vihiga,0,0,11,6,5,0,
Wajir,0,0,0,0,0,0,
West Pokot,5,0,2,1,1,0,
